Time [s],AccX [m/s^2],AccY [m/s^2],AccZ [m/s^2],GyroX [rad/s],GyroY [rad/s],GyroZ [rad/s]
0,0.0141437669,-0.0424285582,0.0340614522,5.15718033e-05,-5.14941584e-05,-0.0300001476
0.1,0.0113313437,-0.0452671281,0.034061124,5.17424944e-05,-5.13296244e-05,-0.0319782398
0.2,0.00852436264,-0.0480977725,0.0340607359,5.19228979e-05,-5.11543873e-05,-0.0339541903
0.3,0.0057257692,-0.0509210911,0.0340602878,5.21127108e-05,-5.09683613e-05,-0.0359292309
0.4,0.00293829677,-0.0537376146,0.0340597798,5.23121174e-05,-5.07714454e-05,-0.0379049856
0.5,0.000164731724,-0.0565478816,0.034059212,5.25208685e-05,-5.05635278e-05,-0.0398829363
0.6,-0.00259215636,-0.0593524163,0.0340585846,5.27387014e-05,-5.03444814e-05,-0.0418645794
0.7,-0.00532959479,-0.062151733,0.0340578977,5.2965839e-05,-5.01141679e-05,-0.0438513802
0.8,-0.00804481202,-0.0649463329,0.0340571515,5.32018392e-05,-4.98724356e-05,-0.0458447863
0.9,-0.0107350354,-0.0677367035,0.0340563462,5.34467476e-05,-4.96191196e-05,-0.047846223
1,-0.0133974909,-0.0705233167,0.034055482,5.37005756e-05,-4.93540433e-05,-0.0498570945
1.1,-0.0160294023,-0.0733066273,0.0340545591,5.39629701e-05,-4.90770172e-05,-0.0518787823
1.2,-0.0186279906,-0.0760870711,0.0340535779,5.42338063e-05,-4.87878379e-05,-0.0539126449
1.3,-0.0211904735,-0.0788650634,0.0340525386,5.45132286e-05,-4.8486291e-05,-0.0559600164
1.4,-0.0237140652,-0.0816409968,0.0340514416,5.48008845e-05,-4.81721494e-05,-0.0580222051
1.5,-0.0261959758,-0.0844152394,0.0340502872,5.50968675e-05,-4.78451731e-05,-0.060100492
1.6,-0.0286334112,-0.0871881322,0.0340490759,5.54007818e-05,-4.7505111e-05,-0.0621961284
1.7,-0.0310235733,-0.0899599872,0.0340478079,5.57124743e-05,-4.71516968e-05,-0.0643103342
1.8,-0.0333636595,-0.0927310849,0.0340464837,5.60320952e-05,-4.67846553e-05,-0.0664442947
1.9,-0.0356508635,-0.0955016711,0.0340451038,5.63591213e-05,-4.64036974e-05,-0.0685991577
2,-0.0378823752,-0.0982719548,0.0340436687,5.66937231e-05,-4.60085222e-05,-0.07077603
2.1,-0.0400553814,-0.101042105,0.0340421788,5.70355575e-05,-4.55988193e-05,-0.0729759739
2.2,-0.0421670667,-0.103812247,0.0340406347,5.73843543e-05,-4.51742638e-05,-0.0752000022
2.3,-0.0442146143,-0.106582459,0.0340390368,5.77399997e-05,-4.47345216e-05,-0.0774490739
2.4,-0.0461952069,-0.109352771,0.0340373859,5.81024286e-05,-4.42792467e-05,-0.0797240886
2.5,-0.0481060288,-0.112123157,0.0340356824,5.84711405e-05,-4.38080852e-05,-0.0820258809
2.6,-0.0499442671,-0.114893535,0.034033927,5.88460265e-05,-4.33206685e-05,-0.0843552135
2.7,-0.0517071138,-0.117663758,0.0340321203,5.92269697e-05,-4.28166244e-05,-0.0867127705
2.8,-0.0533917684,-0.120433615,0.034030263,5.96133962e-05,-4.22955673e-05,-0.08909915
2.9,-0.0549954405,-0.123202823,0.0340283557,6.00052434e-05,-4.17571058e-05,-0.0915148553
3,-0.0565153532,-0.125971025,0.0340263991,6.04019619e-05,-4.120084e-05,-0.0939602863
3.1,-0.0579487462,-0.128737781,0.034024394,6.08035064e-05,-4.06263637e-05,-0.0964357301
3.2,-0.0592928805,-0.131502566,0.0340223411,6.12093771e-05,-4.00332677e-05,-0.0989413504
3.3,-0.0605450426,-0.134264764,0.0340202411,6.16190424e-05,-3.9421135e-05,-0.101477177
3.4,-0.0617025498,-0.137023664,0.0340180949,6.20324042e-05,-3.8789548e-05,-0.104043094
3.5,-0.0627627559,-0.139778451,0.0340159032,6.24487092e-05,-3.8138088e-05,-0.106638829
3.6,-0.0637230577,-0.142528203,0.0340136669,6.28676238e-05,-3.74663333e-05,-0.109263937
3.7,-0.0645809019,-0.145271886,0.0340113867,6.32888163e-05,-3.67738688e-05,-0.111917792
3.8,-0.0653337931,-0.148008345,0.0340090636,6.37113456e-05,-3.60602801e-05,-0.114599569
3.9,-0.0659793022,-0.150736304,0.0340066984,6.41349244e-05,-3.53251573e-05,-0.117308231
4,-0.0665150755,-0.153454354,0.0340042919,6.45590514e-05,-3.45681034e-05,-0.120042518
4.1,-0.0669388453,-0.156160952,0.0340018452,6.49828253e-05,-3.37887293e-05,-0.122800926
4.2,-0.0672484405,-0.158854417,0.033999359,6.54057564e-05,-3.29866594e-05,-0.125581699
4.3,-0.0674417985,-0.161532919,0.0339968344,6.58270837e-05,-3.21615365e-05,-0.12838281
4.4,-0.0675169779,-0.164194483,0.0339942723,6.62461017e-05,-3.13130212e-05,-0.131201946
4.5,-0.0674721719,-0.166836979,0.0339916737,6.66619295e-05,-3.04407992e-05,-0.1340365
4.6,-0.0673057231,-0.169458122,0.0339890394,6.7073713e-05,-2.95445793e-05,-0.136883552
4.7,-0.0670161383,-0.172055468,0.0339863706,6.74808333e-05,-2.86241045e-05,-0.13973986
4.8,-0.0666021044,-0.174626415,0.0339836682,6.78822649e-05,-2.76791522e-05,-0.142601851
4.9,-0.0660625056,-0.177168199,0.0339809332,6.82769683e-05,-2.67095368e-05,-0.145465607
5,-0.0653964405,-0.179677898,0.0339781667,6.86641495e-05,-2.57151158e-05,-0.148326863
5.1,-0.06460324,-0.182152432,0.0339753697,6.90426217e-05,-2.46957958e-05,-0.151181001
5.2,-0.0636824855,-0.184588566,0.0339725432,6.94115396e-05,-2.36515318e-05,-0.154023049
5.3,-0.0626340279,-0.186982918,0.0339696883,6.97696789e-05,-2.25823412e-05,-0.156847681
5.4,-0.0614580058,-0.189331962,0.0339668061,7.01160362e-05,-2.14882948e-05,-0.159649224
5.5,-0.0601548645,-0.191632037,0.0339638976,7.04497292e-05,-2.03695392e-05,-0.162421664
5.6,-0.0587253743,-0.19387936,0.033960964,7.07690406e-05,-1.92262833e-05,-0.165158666
5.7,-0.0571706479,-0.196070036,0.0339580062,7.10734136e-05,-1.80588107e-05,-0.167853584
5.8,-0.0554921574,-0.198200073,0.0339550255,7.13615274e-05,-1.68674922e-05,-0.17049949
5.9,-0.0536917503,-0.200265395,0.0339520229,7.1631962e-05,-1.56527705e-05,-0.173089199
6,-0.0517716632,-0.202261869,0.0339489996,7.18840576e-05,-1.44151809e-05,-0.175615305
6.1,-0.0497345348,-0.204185315,0.0339459566,7.21161867e-05,-1.31553479e-05,-0.178070219
6.2,-0.0475834162,-0.206031537,0.0339428951,7.23275689e-05,-1.18739804e-05,-0.180446212
6.3,-0.0453217786,-0.207796342,0.0339398162,7.25170578e-05,-1.05718926e-05,-0.182735468
6.4,-0.0429535186,-0.209475569,0.0339367211,7.2683507e-05,-9.24998113e-06,-0.184930133
6.5,-0.0404829602,-0.211065114,0.0339336109,7.28259538e-05,-7.90924705e-06,-0.187022379
6.6,-0.0379148539,-0.212560963,0.0339304867,7.2943347e-05,-6.55077614e-06,-0.189004466
6.7,-0.0352543711,-0.213959216,0.0339273498,7.303511e-05,-5.17575673e-06,-0.190868805
6.8,-0.0325070961,-0.215256122,0.0339242013,7.3099988e-05,-3.78546291e-06,-0.192608029
6.9,-0.0296790129,-0.216448106,0.0339210423,7.31374335e-05,-2.38125349e-06,-0.194215063
7,-0.0267764887,-0.2175318,0.0339178741,7.31467504e-05,-9.64575089e-07,-0.195683191
7.1,-0.023806253,-0.218504074,0.0339146978,7.31272418e-05,4.63053136e-07,-0.197006129
7.2,-0.0207753726,-0.219362063,0.0339115146,7.30789029e-05,1.90003582e-06,-0.198178091
7.3,-0.017691223,-0.220103194,0.0339083257,7.30007029e-05,3.34471106e-06,-0.199193851
7.4,-0.0145614559,-0.220725207,0.0339051323,7.28925445e-05,4.79537664e-06,-0.200048804
7.5,-0.011393963,-0.221226183,0.0339019355,7.27545853e-05,6.25026564e-06,-0.200739019
7.6,-0.00819683772,-0.22160456,0.0338987367,7.25864703e-05,7.70758439e-06,-0.201261286
7.7,-0.00497833299,-0.221859145,0.033895537,7.2388391e-05,9.16550728e-06,-0.201613153
7.8,-0.00174681816,-0.221989134,0.0338923376,7.21603333e-05,1.06221979e-05,-0.201792959
7.9,0.00148926631,-0.221994113,0.0338891398,7.190287e-05,1.20758121e-05,-0.20179985
8,0.00472145491,-0.221874067,0.0338859447,7.1616283e-05,1.35245098e-05,-0.201633793
8.1,0.0079413035,-0.221629377,0.0338827536,7.13009551e-05,1.49664733e-05,-0.201295578
8.2,0.0111404354,-0.221260818,0.0338795678,7.09578207e-05,1.63999107e-05,-0.200786801
8.3,0.0143105867,-0.220769551,0.0338763884,7.05873057e-05,1.78230671e-05,-0.200109852
8.4,0.01744365,-0.220157108,0.0338732167,7.01903808e-05,1.92342448e-05,-0.199267883
8.5,0.0205317157,-0.219425383,0.0338700539,6.97680778e-05,2.06317947e-05,-0.198264768
8.6,0.0235671119,-0.218576607,0.0338669012,6.93211698e-05,2.2014144e-05,-0.197105061
8.7,0.0265424398,-0.21761333,0.0338637599,6.88507291e-05,2.3379793e-05,-0.19579394
8.8,0.0294506068,-0.216538395,0.0338606312,6.83580982e-05,2.47273282e-05,-0.19433715
8.9,0.0322848558,-0.215354913,0.0338575163,6.78443962e-05,2.60554177e-05,-0.192740937
9,0.0350387897,-0.214066232,0.0338544164,6.7310535e-05,2.73628345e-05,-0.191011985
9.1,0.0377063935,-0.212675912,0.0338513328,6.67583666e-05,2.86484446e-05,-0.189157342
9.2,0.0402820505,-0.211187692,0.0338482666,6.61887317e-05,2.9911211e-05,-0.187184356
9.3,0.0427605559,-0.20960546,0.033845219,6.56030322e-05,3.11502118e-05,-0.1851006
9.4,0.0451371257,-0.207933224,0.0338421913,6.5002711e-05,3.23646173e-05,-0.182913805
9.5,0.0474074017,-0.20617508,0.0338391846,6.4388933e-05,3.35537113e-05,-0.180631794
9.6,0.0495674533,-0.204335187,0.0338362001,6.37631741e-05,3.4716873e-05,-0.17826242
9.7,0.0516137756,-0.202417735,0.0338332389,6.31266855e-05,3.58535877e-05,-0.175813506
9.8,0.0535432844,-0.200426922,0.0338303022,6.24808457e-05,3.6963434e-05,-0.173292789
9.9,0.0553533084,-0.198366928,0.0338273912,6.18266336e-05,3.804609e-05,-0.170707871
10,0.0570415794,-0.196241893,0.0338245068,6.11655736e-05,3.91013248e-05,-0.168066174
10.1,0.0586062194,-0.194055897,0.0338216504,6.04987842e-05,4.01289897e-05,-0.165374901
10.2,0.0600457271,-0.191812939,0.0338188228,5.98274778e-05,4.11290223e-05,-0.162641004
10.3,0.0613589617,-0.189516923,0.0338160253,5.91526689e-05,4.21014325e-05,-0.159871149
10.4,0.0625451262,-0.187171641,0.0338132589,5.84754301e-05,4.30463082e-05,-0.157071699
10.5,0.0636037503,-0.184780765,0.0338105246,5.7796926e-05,4.39637969e-05,-0.154248693
10.6,0.0645346715,-0.182347831,0.0338078235,5.71180081e-05,4.48541111e-05,-0.151407832
10.7,0.0653380167,-0.179876233,0.0338051566,5.64396245e-05,4.57175162e-05,-0.14855447
10.8,0.0660141837,-0.177369219,0.0338025248,5.57627478e-05,4.65543294e-05,-0.145693606
10.9,0.0665638223,-0.174829879,0.0337999291,5.50882554e-05,4.73649087e-05,-0.142829889
11,0.0669878162,-0.17226115,0.0337973706,5.44166949e-05,4.81496551e-05,-0.139967609
11.1,0.0672872648,-0.169665807,0.0337948501,5.37489513e-05,4.89090043e-05,-0.137110713
11.2,0.0674634658,-0.167046467,0.0337923686,5.3085778e-05,4.96434197e-05,-0.134262801
11.3,0.0675178989,-0.164405584,0.0337899269,5.24278348e-05,5.03533902e-05,-0.13142714
11.4,0.0674522091,-0.161745458,0.033787526,5.17756201e-05,5.10394257e-05,-0.128606677
11.5,0.0672681916,-0.159068229,0.0337851667,5.11297084e-05,5.17020555e-05,-0.125804043
11.6,0.0669677777,-0.156375886,0.0337828498,5.04906667e-05,5.23418203e-05,-0.123021572
11.7,0.0665530208,-0.153670269,0.0337805762,4.98587658e-05,5.29592728e-05,-0.120261315
11.8,0.0660260838,-0.150953072,0.0337783467,4.92348355e-05,5.35549728e-05,-0.117525049
11.9,0.0653892272,-0.148225848,0.0337761621,4.8619125e-05,5.41294798e-05,-0.114814297
12,0.0646447982,-0.145490016,0.0337740231,4.80118465e-05,5.4683361e-05,-0.112130338
12.1,0.0637952201,-0.142746864,0.0337719304,4.74133399e-05,5.52171801e-05,-0.109474227
12.2,0.0628429836,-0.139997555,0.0337698848,4.68240693e-05,5.57315009e-05,-0.106846804
12.3,0.0617906375,-0.137243133,0.0337678869,4.62444946e-05,5.62268769e-05,-0.104248712
12.4,0.0606407813,-0.134484529,0.0337659375,4.56744024e-05,5.67038598e-05,-0.101680408
12.5,0.0593960581,-0.131722565,0.0337640372,4.51141231e-05,5.71629947e-05,-0.0991421785
12.6,0.0580591479,-0.128957962,0.0337621867,4.4564333e-05,5.76048152e-05,-0.0966341521
12.7,0.0566327618,-0.126191342,0.0337603864,4.4024852e-05,5.80298423e-05,-0.0941563096
12.8,0.0551196372,-0.123423238,0.0337586371,4.34956501e-05,5.84385925e-05,-0.0917084975
12.9,0.0535225327,-0.120654095,0.0337569393,4.29772374e-05,5.88315665e-05,-0.0892904383
13,0.051844224,-0.117884277,0.0337552935,4.24697163e-05,5.92092528e-05,-0.0869017407
13.1,0.0500875007,-0.115114074,0.0337537002,4.19729832e-05,5.95721268e-05,-0.0845419091
13.2,0.0482551624,-0.112343703,0.0337521599,4.14872686e-05,5.99206529e-05,-0.0822103529
13.3,0.0463500168,-0.109573313,0.0337506732,4.10128078e-05,6.02552782e-05,-0.0799063945
13.4,0.0443748762,-0.106802993,0.0337492404,4.05494133e-05,6.05764379e-05,-0.0776292771
13.5,0.0423325565,-0.104032773,0.033747862,4.00973068e-05,6.08845532e-05,-0.0753781716
13.6,0.0402258746,-0.101262627,0.0337465383,3.9656657e-05,6.11800297e-05,-0.0731521834
13.7,0.0380576476,-0.0984924814,0.0337452698,3.92273903e-05,6.14632586e-05,-0.0709503581
13.8,0.035830691,-0.0957222137,0.0337440568,3.88095999e-05,6.17346177e-05,-0.0687716868
13.9,0.0335478183,-0.0929516584,0.0337428997,3.84033264e-05,6.19944693e-05,-0.0666151111
14,0.0312118396,-0.0901806097,0.0337417987,3.80086235e-05,6.22431625e-05,-0.0644795277
14.1,0.0288255618,-0.0874088245,0.033740754,3.76255226e-05,6.24810311e-05,-0.0623637917
14.2,0.0263917876,-0.0846360251,0.0337397661,3.72541108e-05,6.27083953e-05,-0.0602667208
14.3,0.0239133156,-0.081861902,0.033738835,3.68942631e-05,6.2925561e-05,-0.0581870978
14.4,0.0213929402,-0.0790861161,0.0337379611,3.65462229e-05,6.31328212e-05,-0.0561236737
14.5,0.0188334515,-0.0763083017,0.0337371444,3.62102094e-05,6.33304524e-05,-0.0540751699
14.6,0.0162376358,-0.0735280678,0.0337363852,3.5885757e-05,6.35187198e-05,-0.0520402801
14.7,0.0136082755,-0.0707450011,0.0337356836,3.55730945e-05,6.36978757e-05,-0.0500176722
14.8,0.01094815,-0.0679586671,0.0337350397,3.52724326e-05,6.38681579e-05,-0.0480059898
14.9,0.00826003555,-0.0651686126,0.0337344535,3.49837896e-05,6.40297908e-05,-0.0460038529
15,0.00554670648,-0.0623743671,0.0337339252,3.47071567e-05,6.41829861e-05,-0.0440098593
15.1,0.00281093543,-0.0595754441,0.0337334547,3.44424226e-05,6.43279433e-05,-0.0420225851
15.2,5.54942073e-05,-0.0567713435,0.0337330421,3.41899287e-05,6.44648489e-05,-0.0400405851
15.3,-0.00271684537,-0.0539615521,0.0337326873,3.39495882e-05,6.45938761e-05,-0.0380623934
15.4,-0.0055033107,-0.0511455457,0.0337323904,3.37213385e-05,6.47151868e-05,-0.0360865232
15.5,-0.00830112735,-0.0483227899,0.0337321512,3.35054759e-05,6.48289298e-05,-0.0341114668
15.6,-0.0111075182,-0.0454927417,0.0337319697,3.33021271e-05,6.49352414e-05,-0.0321356957
15.7,-0.0139197023,-0.0426548506,0.0337318457,3.31109303e-05,6.50342455e-05,-0.0301576602
15.8,-0.0167348939,-0.0398085599,0.0337317791,3.29324039e-05,6.51260553e-05,-0.0281757889
15.9,-0.0195503009,-0.0369533077,0.0337317698,3.27666161e-05,6.5210769e-05,-0.0261884885
16,-0.0223631244,-0.0340885282,0.0337318175,3.26133147e-05,6.5288475e-05,-0.0241941429
16.1,-0.0251705565,-0.0312136528,0.0337319221,3.24731721e-05,6.53592477e-05,-0.0221911131
